zip,city,longitude,latitude,pop,state
01001,Agawam,-72.622739,42.070206,15338,MA
01002,Cushman,-72.51565,42.377017,36963,MA
01005,Barre,-72.108354,42.409698,4546,MA
01007,Belchertown,-72.410953,42.275103,10579,MA
01008,Blandford,-72.936114,42.182949,1240,MA
01010,Brimfield,-72.188455,42.116543,3706,MA
01011,Chester,-72.988761,42.279421,1688,MA
01012,Chesterfield,-72.833309,42.38167,177,MA
01013,Chicopee,-72.607962,42.162046,23396,MA
01020,Chicopee,-72.576142,42.176443,31495,MA
01022,Westover Afb,-72.558657,42.196672,1764,MA
01026,Cummington,-72.905767,42.435296,1484,MA
01027,Mount Tom,-72.679921,42.264319,16864,MA
01028,East Longmeadow,-72.505565,42.067203,13367,MA
01030,Feeding Hills,-72.675077,42.07182,11985,MA
01031,Gilbertville,-72.198585,42.332194,2385,MA
01032,Goshen,-72.844092,42.466234,122,MA
01033,Granby,-72.520001,42.255704,5526,MA
01034,Tolland,-72.908793,42.070234,1652,MA
01035,Hadley,-72.571499,42.36062,4231,MA
01036,Hampden,-72.431823,42.064756,4709,MA
01038,Hatfield,-72.616735,42.38439,3184,MA
01039,Haydenville,-72.703178,42.381799,1387,MA
01040,Holyoke,-72.626193,42.202007,43704,MA
01050,Huntington,-72.873341,42.265301,2084,MA
01053,Leeds,-72.703403,42.354292,1350,MA
01054,Leverett,-72.499334,42.46823,1748,MA
01056,Ludlow,-72.471012,42.172823,18820,MA
01057,Monson,-72.319634,42.101017,8194,MA
01060,Florence,-72.654245,42.324662,27939,MA
01068,Oakham,-72.051265,42.348033,1503,MA
01069,Palmer,-72.328785,42.176233,9778,MA
01070,Plainfield,-72.918289,42.514393,571,MA
01071,Russell,-72.840343,42.147063,608,MA
01072,Shutesbury,-72.421342,42.481968,1533,MA
01073,Southampton,-72.719381,42.224697,4478,MA
01075,South Hadley,-72.581137,42.237537,16699,MA
01077,Southwick,-72.770588,42.051099,7667,MA
01080,Three Rivers,-72.362352,42.181894,2425,MA
01081,Wales,-72.204592,42.062734,1732,MA
01082,Ware,-72.258285,42.261831,9808,MA
01085,Montgomery,-72.754318,42.129484,40117,MA
01089,West Springfield,-72.641109,42.115066,27537,MA
01092,West Warren,-72.203639,42.20734,4441,MA
01095,Wilbraham,-72.446415,42.124506,12635,MA
01096,Williamsburg,-72.777989,42.408522,2295,MA
01098,Worthington,-72.931427,42.384293,877,MA
01103,Springfield,-72.588735,42.1029,2323,MA
